soglia,rr,totale,vincite,perdite,winrate,profit_factor,expectancy
0.5,1.5,261,93,168,35.63,0.83,-0.109
0.5,2.0,259,78,181,30.12,0.862,-0.097
0.5,2.5,255,73,182,28.63,1.003,0.002
0.5,3.0,247,64,183,25.91,1.049,0.036
1.0,1.5,233,82,151,35.19,0.815,-0.12
1.0,2.0,231,67,164,29.0,0.817,-0.13
1.0,2.5,228,63,165,27.63,0.955,-0.033
1.0,3.0,224,58,166,25.89,1.048,0.036
1.5,1.5,177,62,115,35.03,0.809,-0.124
1.5,2.0,176,52,124,29.55,0.839,-0.114
1.5,2.5,173,48,125,27.75,0.96,-0.029
1.5,3.0,172,46,126,26.74,1.095,0.07
2.0,1.5,144,54,90,37.5,0.9,-0.062
2.0,2.0,143,44,99,30.77,0.889,-0.077
2.0,2.5,140,40,100,28.57,1.0,-0.0
2.0,3.0,139,38,101,27.34,1.129,0.094
2.5,1.5,121,45,76,37.19,0.888,-0.07
2.5,2.0,120,35,85,29.17,0.824,-0.125
2.5,2.5,117,31,86,26.5,0.901,-0.073
2.5,3.0,116,30,86,25.86,1.047,0.034
