soglia,rr,totale,vincite,perdite,winrate,profit_factor,expectancy
0.5,1.5,253,90,163,35.57,0.828,-0.111
0.5,2.0,251,75,176,29.88,0.852,-0.104
0.5,2.5,247,70,177,28.34,0.989,-0.008
0.5,3.0,239,61,178,25.52,1.028,0.021
1.0,1.5,231,82,149,35.5,0.826,-0.113
1.0,2.0,229,67,162,29.26,0.827,-0.122
1.0,2.5,226,63,163,27.88,0.966,-0.024
1.0,3.0,222,58,164,26.13,1.061,0.045
1.5,1.5,177,62,115,35.03,0.809,-0.124
1.5,2.0,176,52,124,29.55,0.839,-0.114
1.5,2.5,173,48,125,27.75,0.96,-0.029
1.5,3.0,172,46,126,26.74,1.095,0.07
2.0,1.5,144,54,90,37.5,0.9,-0.062
2.0,2.0,143,44,99,30.77,0.889,-0.077
2.0,2.5,140,40,100,28.57,1.0,-0.0
2.0,3.0,139,38,101,27.34,1.129,0.094
2.5,1.5,121,45,76,37.19,0.888,-0.07
2.5,2.0,120,35,85,29.17,0.824,-0.125
2.5,2.5,117,31,86,26.5,0.901,-0.073
2.5,3.0,116,30,86,25.86,1.047,0.034
