soglia,rr,totale,vincite,perdite,winrate,profit_factor,expectancy
0.5,1.5,15,6,9,40.0,1.0,0.0
0.5,2.0,15,6,9,40.0,1.333,0.2
0.5,2.5,15,6,9,40.0,1.667,0.4
0.5,3.0,15,6,9,40.0,2.0,0.6
1.0,1.5,14,6,8,42.86,1.125,0.071
1.0,2.0,14,6,8,42.86,1.5,0.286
1.0,2.5,14,6,8,42.86,1.875,0.5
1.0,3.0,14,6,8,42.86,2.25,0.714
1.5,1.5,11,5,6,45.45,1.25,0.136
1.5,2.0,11,5,6,45.45,1.667,0.364
1.5,2.5,11,5,6,45.45,2.083,0.591
1.5,3.0,11,5,6,45.45,2.5,0.818
2.0,1.5,8,5,3,62.5,2.5,0.562
2.0,2.0,8,5,3,62.5,3.333,0.875
2.0,2.5,8,5,3,62.5,4.167,1.188
2.0,3.0,8,5,3,62.5,5.0,1.5
2.5,1.5,4,3,1,75.0,4.5,0.875
2.5,2.0,4,3,1,75.0,6.0,1.25
2.5,2.5,4,3,1,75.0,7.5,1.625
2.5,3.0,4,3,1,75.0,9.0,2.0
