asset,soglia,rr,totale,vincite,perdite,winrate,profit_factor,expectancy
BTC-USD,0.5,1.5,811,432,379,53.27,1.71,0.332
BTC-USD,0.5,2.0,787,370,417,47.01,1.775,0.41
BTC-USD,0.5,2.5,754,311,443,41.25,1.755,0.444
BTC-USD,0.5,3.0,719,261,458,36.3,1.71,0.452
BTC-USD,1.0,1.5,792,416,376,52.53,1.66,0.313
BTC-USD,1.0,2.0,768,357,411,46.48,1.737,0.395
BTC-USD,1.0,2.5,735,298,437,40.54,1.705,0.419
BTC-USD,1.0,3.0,701,249,452,35.52,1.653,0.421
BTC-USD,1.5,1.5,776,410,366,52.84,1.68,0.321
BTC-USD,1.5,2.0,752,351,401,46.68,1.751,0.4
BTC-USD,1.5,2.5,719,292,427,40.61,1.71,0.421
BTC-USD,1.5,3.0,685,243,442,35.47,1.649,0.419
BTC-USD,2.0,1.5,764,404,360,52.88,1.683,0.322
BTC-USD,2.0,2.0,740,345,395,46.62,1.747,0.399
BTC-USD,2.0,2.5,707,287,420,40.59,1.708,0.421
BTC-USD,2.0,3.0,673,238,435,35.36,1.641,0.415
BTC-USD,2.5,1.5,752,397,355,52.79,1.677,0.32
BTC-USD,2.5,2.0,728,339,389,46.57,1.743,0.397
BTC-USD,2.5,2.5,695,281,414,40.43,1.697,0.415
BTC-USD,2.5,3.0,661,232,429,35.1,1.622,0.404
ETH-USD,0.5,1.5,938,493,445,52.56,1.662,0.314
ETH-USD,0.5,2.0,930,437,493,46.99,1.773,0.41
ETH-USD,0.5,2.5,924,393,531,42.53,1.85,0.489
ETH-USD,0.5,3.0,907,351,556,38.7,1.894,0.548
ETH-USD,1.0,1.5,914,480,434,52.52,1.659,0.313
ETH-USD,1.0,2.0,906,425,481,46.91,1.767,0.407
ETH-USD,1.0,2.5,901,382,519,42.4,1.84,0.484
ETH-USD,1.0,3.0,884,341,543,38.57,1.884,0.543
ETH-USD,1.5,1.5,898,474,424,52.78,1.677,0.32
ETH-USD,1.5,2.0,890,421,469,47.3,1.795,0.419
ETH-USD,1.5,2.5,885,378,507,42.71,1.864,0.495
ETH-USD,1.5,3.0,869,339,530,39.01,1.919,0.56
ETH-USD,2.0,1.5,865,461,404,53.29,1.712,0.332
ETH-USD,2.0,2.0,858,410,448,47.79,1.83,0.434
ETH-USD,2.0,2.5,853,367,486,43.02,1.888,0.506
ETH-USD,2.0,3.0,838,329,509,39.26,1.939,0.57
ETH-USD,2.5,1.5,837,447,390,53.41,1.719,0.335
ETH-USD,2.5,2.0,830,396,434,47.71,1.825,0.431
ETH-USD,2.5,2.5,825,353,472,42.79,1.87,0.498
ETH-USD,2.5,3.0,811,316,495,38.96,1.915,0.559
^GSPC,0.5,1.5,195,64,131,32.82,0.733,-0.179
^GSPC,0.5,2.0,189,52,137,27.51,0.759,-0.175
^GSPC,0.5,2.5,167,29,138,17.37,0.525,-0.392
^GSPC,0.5,3.0,160,21,139,13.12,0.453,-0.475
^GSPC,1.0,1.5,191,63,128,32.98,0.738,-0.175
^GSPC,1.0,2.0,186,52,134,27.96,0.776,-0.161
^GSPC,1.0,2.5,164,29,135,17.68,0.537,-0.381
^GSPC,1.0,3.0,157,21,136,13.38,0.463,-0.465
^GSPC,1.5,1.5,190,62,128,32.63,0.727,-0.184
^GSPC,1.5,2.0,185,51,134,27.57,0.761,-0.173
^GSPC,1.5,2.5,163,28,135,17.18,0.519,-0.399
^GSPC,1.5,3.0,156,20,136,12.82,0.441,-0.487
^GSPC,2.0,1.5,189,62,127,32.8,0.732,-0.18
^GSPC,2.0,2.0,184,51,133,27.72,0.767,-0.168
^GSPC,2.0,2.5,162,28,134,17.28,0.522,-0.395
^GSPC,2.0,3.0,155,20,135,12.9,0.444,-0.484
^GSPC,2.5,1.5,187,61,126,32.62,0.726,-0.184
^GSPC,2.5,2.0,182,50,132,27.47,0.758,-0.176
^GSPC,2.5,2.5,160,27,133,16.88,0.508,-0.409
^GSPC,2.5,3.0,153,19,134,12.42,0.425,-0.503
